company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Tyromotion,AT,rehab,https://tyromotion.com,office@tyromotion.com,generic,Yes,https://eu-robotics.net/,Graz; technology-supported therapy devices (Amadeo Diego) [cross-sourced x2] | enrich: usa@tyromotion.com also present,high
Voxdale,BE,Medical device engineering incl. robotics,https://www.voxdale.eu,info@voxdale.be,generic,Yes,https://ri4eu.eu/success-story/dihhero/,DIH-HERO funded; ROB-ID robotic vaccination demonstrator; Antwerp | enrich: also info@voxdale.nl info@voxdale.de,high
Axiles Bionics,BE,prosthetics-robotic,https://www.axilesbionics.com,info@axilesbionics.com,generic,Yes,https://siliconcanals.com/axiles-bionics-raises-e6m-in-series-a/,Brussels; VUB spin-off founded 2019; Lunaris AI-controlled robotic ankle-foot prosthesis (CE/FDA),high
F&P Robotics,CH,Assistive - care robot,https://www.fp-robotics.com,info@fp-robotics.com,generic,Yes,https://ri4eu.eu/success-story/dihhero/,DIH-HERO funded; Lio assistive robot for healthcare staff; Glattbrugg/Zurich,high
Nanoflex Robotics,CH,endovascular,https://nanoflexrobotics.com,info@nanoflexrobotics.com,generic,Yes,https://www.wysszurich.ch/projects/nanoflex,ETH Zurich/Wyss spin-off; magnetic endovascular robot for stroke,high
TWIICE,CH,exoskeleton,https://twiice.ch,info@twiice.ch,generic,Yes,https://www.venturelab.swiss/TWIICE,EPFL lower-limb exoskeleton for SCI; Swiss clinical use,medium
Sensars Neuroprosthetics,CH,neuroprosthesis,https://www.sensars.com,,contact_form_only,Yes,https://eithealth.eu/news-article/sensars-neuroprosthetics-the-future-of-nerve-stimulation/,EPFL spin-off Lausanne; SENSY implantable for diabetic neuropathy,high
Hocoma,CH,Rehab - gait/upper-limb robotics,https://www.hocoma.com,,unknown,No,https://ri4eu.eu/success-story/dihhero/,DIH-HERO funded; Lokomat/Armeo rehab systems; ~160 staff; Volketswil/Zurich [cross-sourced x2],high
Reha Technology,CH,rehab-gait-robot,https://www.rehatechnology.com,sales@rehatechnology.com,generic,unknown,https://blog.technavio.org/blog/top-15-rehabilitation-robotics-companies,Olten Switzerland; end-effector-based gait therapy robotic devices (G-EO); distributed by DIH Medical group | enrich: technicalsupport@rehatechnology.com also,medium
Intento,CH,rehab/neurostim,https://www.intento.ch,info@intento.ch,generic,Yes,https://cnbi.epfl.ch/news/page-121574-en-html/,EPFL spin-off Lausanne; wearable neuroprosthesis for stroke [cross-sourced x2],high
