company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Interventional Systems,AT,percutaneous-needle-robot,https://www.interventional-systems.com,,,Yes,https://www.surgicalroboticstechnology.com/company/interventional-systems/,Kitzbuhel AT; Micromate miniature image-guided needle robot; FDA cleared; offices DE/PT [pass-2],high
Tyromotion,AT,rehab,https://tyromotion.com,office@tyromotion.com,generic,Yes,https://eu-robotics.net/,Graz; technology-supported therapy devices (Amadeo Diego) [cross-sourced x2] | enrich: usa@tyromotion.com also present,high
SVAN Technologies,AT,Surgical - autonomous bone drill,https://www.svanneo.at,,unknown,Yes,https://www.hospimedica.com/medica-2025/articles/294807279/winners-announced-of-the-14th-medica-start-up-competition.html,Vienna; Medical University of Vienna spin-off; autonomous neonatal bone drill (Smart Versatile Autostop Navigation Drill); MEDICA 2025 Start-up Competition 1st place winner [pass-2],high
BHS Technologies,AT,Surgical - microsurgery RoboticScope,https://www.bhs-technologies.com,,unknown,Yes,https://www.bhs-technologies.com/company/,Innsbruck; RoboticScope head-gesture-controlled 3D digital microscope for ENT and microsurgery; founded 2017 [pass-2],high
Nyxoah,BE,active-implantable-neurostim,https://nyxoah.com,info@nyxoah.com,generic,No,https://www.eib.org/en/press/all/2024-242-belgian-medtech-nyxoah-secures-eur37-5-million-eib-venture-debt-financing-to-treat-obstructive-sleep-apnea,EIB EUR 37.5M venture debt 2024; Genio bilateral hypoglossal nerve stimulator wireless-powered active electrical stim implant for sleep apnea; Mont-Saint-Guibert BE; Euronext/Nasdaq listed - not SME [pass-2],medium
Mirmex Motor,BE,actuator-supplier,https://www.mirmexmotor.com,,,Yes,https://www.compamed-tradefair.com/vis/v1/en/catalogue/medcom.COMPAMED.05.01,AI-designed flexible-PCB micromotors for surgical robots and implantables; Mont-Saint-Guibert BE; ISO 13485; COMPAMED exhibitor [pass-2],high
ZoraBots,BE,humanoid-elderly-care,https://zorarobotics.be,,,Yes,https://www.agoria.be/en/find-a-member/,Ostend; Zora NAO-based humanoid for elderly/paediatric care; deployed in 200+ facilities [pass-2],medium
Voxdale,BE,Medical device engineering incl. robotics,https://www.voxdale.eu,info@voxdale.be,generic,Yes,https://ri4eu.eu/success-story/dihhero/,DIH-HERO funded; ROB-ID robotic vaccination demonstrator; Antwerp | enrich: also info@voxdale.nl info@voxdale.de,high
Axiles Bionics,BE,prosthetics-robotic,https://www.axilesbionics.com,info@axilesbionics.com,generic,Yes,https://siliconcanals.com/axiles-bionics-raises-e6m-in-series-a/,Brussels; VUB spin-off founded 2019; Lunaris AI-controlled robotic ankle-foot prosthesis (CE/FDA),high
Kelvin Health,BG,imaging/diagnostics,https://www.kelvin.health,,,Yes,https://www.kelvin.health/,Sofia-based mobile AI thermal imaging for vascular disease and cancer screening; smartphone thermal camera hardware [pass-2],medium
ProsFit Technologies,BG,prosthetics,https://prosfit.com,,,Yes,https://prosfit.com/,Sofia-based digital 3D-printed prosthetic socket platform (PandoFit); decentralised fitting hardware/software [pass-2],high
Neurosoft Bioelectronics,CH,active-brain-implant,https://www.neurosoft-bio.com,,,Yes,https://bioalps.org/organizations/neurosoft-bioelectronics/,Geneva EPFL/Wyss spin-off; soft ECoG implant with sensing and stimulation [pass-2],high
Comphya,CH,active-implantable-neurostim,https://comphya.com,,,Yes,https://bioalps.org/organizations/,EPFL spin-off; CaverSTIM active implantable nerve stimulator post-prostatectomy [pass-2],high
Sonceboz,CH,actuator-supplier,https://medical.sonceboz.com,,,No,https://www.compamed-tradefair.com/vis/v1/en/catalogue/medcom.COMPAMED.05.01,Mechatronic drive systems / BLDC motors / linear actuators for medical devices incl. surgical robots; HQ Sonceboz CH; ~700 staff (large group) but medical division supplies robotics OEMs [pass-2],high
Auxivo,CH,assistive,https://www.auxivo.com,,,Yes,https://www.venturelab.swiss/,ETH Zurich spin-off 2019; LiftSuit/OmniSuit passive exoskeletons; Venturelab alum [pass-2],high
F&P Robotics,CH,Assistive - care robot,https://www.fp-robotics.com,info@fp-robotics.com,generic,Yes,https://ri4eu.eu/success-story/dihhero/,DIH-HERO funded; Lio assistive robot for healthcare staff; Glattbrugg/Zurich,high
Motilis Medica,CH,Capsule endoscopy - GI motility,http://www.motilis.com,contact@motilis.com,generic,Yes,https://bioalps.org/organizations/motilis-medica-sa/,Lausanne; ingestible capsule with magnetic tracking for GI motility diagnostics; CE mark [pass-2],medium
Augury Medical (Pace Locator),CH,Cardiac visualization hardware,https://augurymedical.com,,unknown,Yes,https://www.venturelab.swiss/PaceLocator-The-Venture-Leader-Medtech-revolutionizing-cardiac-care-with-realtime-3D-heart-visualization,Bern University of Applied Sciences spin-off; Pace Locator 3D cardiac-signal visualization device; Venture Leaders Medtech 2025 [pass-2],medium
Artiria Medical,CH,endovascular,https://www.artiria-medical.com,,,Yes,https://bioalps.org/artiria-medical-secures-ce-mark-for-it-smartguide-014-a-deflectable-guidewire/,EPFL spin-out 2019; SmartGUIDE 014 deflectable neurovascular guidewire; CE + FDA [pass-2],high
Nanoflex Robotics,CH,endovascular,https://nanoflexrobotics.com,info@nanoflexrobotics.com,generic,Yes,https://www.wysszurich.ch/projects/nanoflex,ETH Zurich/Wyss spin-off; magnetic endovascular robot for stroke,high
TWIICE,CH,exoskeleton,https://twiice.ch,info@twiice.ch,generic,Yes,https://www.venturelab.swiss/TWIICE,EPFL lower-limb exoskeleton for SCI; Swiss clinical use,medium
aiEndoscopic,CH,intubation robotics,https://www.aiendoscopic.com,,,Yes,https://www.innovation.uzh.ch/en/stories/venture/aiEndoscopic.html,ETH/UZH/USZ spin-off (2021); intuBot AI-guided robotic endoscope for airway intubation [pass-2],high
Andrew Alliance,CH,lab-automation,https://www.andrewalliance.com,,,No,https://www.medica-tradefair.com/vis/v1/en/search,Andrew+ pipetting robot and Pipette+ smart electronic pipettes; HQ Geneva CH (Waters Lab Automation brand) - acquired by Waters Corp 2020 [pass-2],high
Inpeco,CH,lab-automation,https://www.inpeco.com,,,No,https://www.inpeco.com/our-company/,Headquartered Novazzano CH with Italian manufacturing; FlexLab total-lab-automation; 2600+ systems shipped - large not SME [pass-2],medium
MagnebotiX,CH,magnetic microrobotics,https://www.magnebotix.com,,,Yes,https://msrl.ethz.ch/the-lab/spin-offs.html,ETH Zurich spin-off; magnetic manipulation systems for medical microrobots [pass-2],high
FemtoTools,CH,micro/nano manipulation,https://www.femtotools.com,,,Yes,https://msrl.ethz.ch/the-lab/spin-offs.html,ETH Zurich spin-off; MEMS microrobotic handling/force sensing tools (biomedical research) [pass-2],medium
Sensars Neuroprosthetics,CH,neuroprosthesis,https://www.sensars.com,,contact_form_only,Yes,https://eithealth.eu/news-article/sensars-neuroprosthetics-the-future-of-nerve-stimulation/,EPFL spin-off Lausanne; SENSY implantable for diabetic neuropathy,high
OrthoSens,CH,Orthopedic smart implants,https://orthosens.ch,,unknown,Yes,https://www.venturelab.swiss/medtech2025,Courroux; battery-free smart implant sensors for orthopedic implants + SensApp platform; founded 2024; Venture Leaders Medtech 2025 [pass-2],medium
