company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
ABLE Human Motion,ES,Rehab exoskeleton - SCI,https://www.ablehumanmotion.com,hello@ablehumanmotion.com,generic,Yes,https://eithealth.eu/news-article/robots-in-medicine-the-robotics-start-ups-making-a-difference-in-healthcare/,EIT Health-supported UPC spin-off; CE marked ABLE Exoskeleton; Barcelona,high
Somnox,NL,Assistive - sleep robot,https://somnox.com,,unknown,Yes,https://eithealth.eu/news-article/eit-health-backed-start-up-gets-funds-for-sleeping-robot/,EIT Health-backed TU Delft spin-off; breathing sleep robot; Rotterdam/Delft,high
Surge-on Medical,NL,Surgical - arthroscopy/laparoscopy,https://www.surge-on.nl,info@surge-on.eu,generic,Yes,https://eithealth.eu/news-article/surge-on-medical-premieres-eit-health-supported-european-crowdfunding-platform-asecuvest-eu/,EIT Health-supported; steerable detachable MIS instruments; Delft,high
MOWOOT (USMIMA),ES,Assistive - pneumatic soft robot,https://www.mowoot.com,info@mowoot.com,generic,Yes,https://eithealth.eu/news-article/robots-in-medicine-the-robotics-start-ups-making-a-difference-in-healthcare/,EIT Health; pneumatic abdominal massage device for chronic constipation; Barcelona,high
Robota Srl,IT,Surgical instrument reprocessing,https://www.robota.run,info@robota.run,generic,Yes,https://eithealth.eu/news-article/innostars-awards-2024-forty-start-ups-set-to-change-healthcare-in-central-eastern-and-southern-europe/,EIT Health InnoStars 2024 finalist; steR automated sterilization; Borgosesia,high
Bearcover,DE,Assistive - nursing home night-check robot,https://bearcover.de,,contact_form_only,Yes,https://eithealth.eu/news-article/eit-health-catapult-2023-24-selects-30-semifinalists/,EIT Health Catapult 2023-24 semi-finalist; Motion Lab Berlin,high
Dymium GmbH,DE,Surgical - urology/kidney stones,,,unknown,Yes,https://eithealth.eu/news-article/eit-health-catapult-2023-24-selects-30-semifinalists/,EIT Health Catapult 2023-24 finalist; LithoFree magnetic kidney stone system; Garching/Munich,high
Tympany Medical,IE,Surgical - ENT endoscopy,https://tympanymedical.com,info@tympanymedical.com,generic,Yes,https://eithealth.eu/news-article/eit-health-catapult-2024-25-selects-29-semi-finalists/,EIT Health Catapult 2024-25 semi-finalist; Solascope sterile panoramic ENT scope; Galway,high
Artedrone,FR,Microrobotics - neuro thrombectomy,https://www.artedrone.com,contact@artedrone.com,generic,Yes,https://www.truffle.com/portfolio-truffle-capital/artedrone,SASHA autonomous microrobot for stroke; pre-clinical; Paris,high
Ganymed Robotics,FR,Surgical - orthopedic/knee,https://www.ganymedrobotics.com,,unknown,Yes,https://eithealth.eu/news-article/ganymed-robotics-raises-e21m-for-global-expansion/,EIT Health Headstart & Bridgehead; EIC Accelerator grant; TKA co-manipulated robot; Paris,high
