company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
ABLE Human Motion,ES,rehab_exoskeleton,https://www.ablehumanmotion.com/,hello@ablehumanmotion.com,role,Yes,https://www.biocat.cat/en/current-news/news/company-able-human-motion-supported-pass-programme-incorporates-6-exoskeletons,UPC spin-off Barcelona; lightweight exoskeleton for neurorehabilitation; accelerated by Biocat PASS and CRAASH Barcelona,high
Robopedics,ES,rehab_assistive,https://robopedics.com/,,,unknown,https://barcelonahealthhub.com/en/news/discover-how-robopedics-is-shaping-the-future-of-dependent-care/,Barcelona Health Hub member; single-leg robotic orthotic Awake for stroke hemiplegics; founded 2021,medium
Laevo Exoskeletons,NL,rehab_assistive,https://www.laevo-exoskeletons.com/,,,Yes,https://yesdelft.com/startups/laevo/,YES!Delft alumni; wearable back-support exoskeleton incl. elderly-care applications,high
Skelex,NL,rehab_assistive,https://www.skelex.com/,,,Yes,https://yesdelft.com/startups/skel-ex/,YES!Delft alumni; passive upper-body exoskeleton,medium
Corbotics,NL,diagnostic_robot,https://www.corbotics.com/,,,Yes,https://yesdelft.com/startups/corbotics/,YES!Delft MedTech Accelerator; autonomous robotic echocardiography,high
Access2Bone,NL,orthopaedic_device,https://access2bone.com/,,,Yes,https://yesdelft.com/startups/access2bone/,YES!Delft MedTech Accelerator; bone-regeneration device for orthopaedic surgeons,medium
Sonosilicon,NL,diagnostic_device,,,,Yes,https://yesdelft.com/startups/sonosilicon/,YES!Delft alumni; IC/MEMS-based medical ultrasound devices,medium
SoundCell,NL,lab_automation,,,,Yes,https://yesdelft.com/startups/soundcell/,YES!Delft alumni TU Delft spin-off; graphene nanodrum sensor platform for antibiotic susceptibility testing,high
LYLA,NL,pharma_automation,,,,Yes,https://yesdelft.com/startups/lyla/,YES!Delft MedTech Accelerator; compact scanner for radiopharmaceutical QC,medium
Reboocon Bionics,NL,prosthetics,https://www.rbionics.com/,,,Yes,https://yesdelft.com/startups/robocon-bionics/,Delft-based robotic prostheses and exoskeletons; powered Intuy knee,medium
Hipermotion,NL,rehab_device,http://www.hipermotion.com/,,,Yes,https://www.hightechxl.com/news/hightechxl-startup-accelerator-spring-2018-robotics-medtech-and-red-hot-chili-peppers-triumph-at-eindhovens-tech-accelerator/,HighTechXL 2018 cohort; MaxDFM dynamic-force-modulation rehab machine; TU/e spin-off,medium
Microsure,NL,surgical_robotics,https://microsure.nl/,,,Yes,https://www.emrobotics.com/,Eindhoven Medical Robotics ecosystem; MUSA-3 open-microsurgery robot; TU/e+MUMC spin-off,high
Preceyes,NL,surgical_robotics,https://www.preceyes.nl/,,,Yes,https://www.emrobotics.com/,TU/e spin-off; CE-marked robotic assistant for vitreoretinal eye surgery (Zeiss Company),high
DEAM,NL,surgical_instruments,https://www.deam.com/,,,Yes,https://www.emrobotics.com/,Steerable laparoscopic instruments; spin-off from TU Delft,medium
