company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Gogoa Mobility Robots,ES,rehab-exoskeleton,https://www.gogoa.eu/,,,Yes,https://sifted.eu/articles/exoskeleton-startups-wandercraft-marsi-bionics-tendo,"First European company with CE-marked rehab exoskeleton (HANK lower limb); also BELK knee; based in Basque Country",high
Preceyes,NL,ophthalmology-robot,https://www.preceyes.nl/,,,unknown,https://siliconcanals.com/medical-robots-startups-europe-news/,"Eindhoven; CE-marked PRECEYES Surgical System for vitreoretinal eye surgery; acquired by Carl Zeiss Meditec - may no longer be independent SME",high
Microsure,NL,microsurgery-robot,https://microsure.nl/,,,Yes,https://www.escatec.com/blog/24-exciting-surgical-robotics-companies,"Eindhoven/Son; MUSA CE-marked surgical robot for microsurgery; spin-off of TU Eindhoven and Maastricht UMC; raised Series B2 €38M in 2023",high
Avatera Medical,DE,general-surgery-robot,https://avatera.eu/,,,unknown,https://www.escatec.com/blog/24-exciting-surgical-robotics-companies,"Jena Germany; first German CE-marked system for robot-assisted minimally invasive surgery (gynae/urology); sites in Jena Ilmenau Hanover Altingen",high
Ganymed Robotics,FR,orthopedic-robot,https://www.ganymedrobotics.com/,,,Yes,https://www.eu-startups.com/2024/09/from-fiction-to-function-10-european-startups-pushing-the-boundaries-of-robotics/,"Paris France founded 2018; ~40 staff; robotic surgical assistant for total knee arthroplasty; raised €42M",high
ABLE Human Motion,ES,rehab-exoskeleton,https://www.ablehumanmotion.com/,,,Yes,https://eithealth.eu/news-article/eit-health-supported-able-human-motion-receives-ce-mark/,"Barcelona; CE-marked ABLE Exoskeleton for spinal cord injury rehab; UPC spin-off",high
ExoAtlet,LU,rehab-exoskeleton,https://exoatlet.lu/,,,unknown,https://exoskeletonreport.com/exoskeleton-companies-and-organizations-directory/,"Luxembourg HQ since 2018; lower-limb exoskeletons for gait rehab; over 5000 patients served",medium
Reactive Robotics,DE,icu-mobilization-robot,https://www.reactive-robotics.com/,,,Yes,https://www.biospace.com/german-medical-robotics-startup-reactive-robotics-bags-7-figure-funding-round,"Munich; VEMO / VEMOTION robot for very early mobilization of ICU patients; CE-approved 2019; TUM spin-off",high
Cyber Surgery,ES,spine-surgery-robot,https://cyber-surgery.com/,,,Yes,https://www.surgicalroboticstechnology.com/news/cyber-surgery-announces-successful-completion-of-clinical-trials/,"San Sebastian Basque Country founded 2017; ALAYA robotic assistant for spine surgery with kinematic navigation",high
AKTORmed,DE,endoscope-holder-robot,https://aktormed.com/,,,unknown,https://orthexo.de/en/exoskeleton-manufacturer/,"Barbing Germany; SOLOASSIST II robotic endoscope holder for laparoscopic surgery; voice/joystick control",medium
Axiles Bionics,BE,prosthetics-robotic,https://www.axilesbionics.com/,,,Yes,https://siliconcanals.com/axiles-bionics-raises-e6m-in-series-a/,"Brussels; VUB spin-off founded 2019; Lunaris AI-controlled robotic ankle-foot prosthesis (CE/FDA)",high
Tyromotion,AT,upper-limb-rehab-robot,https://tyromotion.com/,,,unknown,https://tyromotion.com/en/,"Graz Austria founded 2007; ~65 staff; Amadeo finger-hand & Diego shoulder-arm rehab robots; offices in Germany and USA",high
Heaxel,IT,upper-limb-rehab-robot,https://heaxel.com/,,,Yes,https://heaxel.com/category/emea/,"Italy (Milan/Rome); iCone CE-marked portable robot for upper-limb neurorehabilitation (including home use)",high
Life Science Robotics,DK,rehab-robot,https://www.lifescience-robotics.com/,,,Yes,https://www.lifescience-robotics.com/about/,"Aalborg Denmark founded 2014; ROBERT robotic physiotherapist for limb mobilization; CE-marked",high
EGZOTech,PL,rehab-robot,https://www.egzotech.com/,,,Yes,https://www.egzotech.com/en/about-us/,"Gliwice Poland founded 2013; Luna EMG robot for neuromotor rehabilitation; 350+ units delivered; ~50 staff",high
Aether Biomedical,PL,prosthetics-robotic,https://www.aetherbiomedical.com/,,,Yes,https://www.medicalstartups.org/top/prosthesis/,"Poznan Poland founded 2018; Zeus multi-articulating bionic hand prosthesis",high
BioCam,PL,capsule-endoscopy-robot,https://www.biocam.ai/,,,Yes,https://www.eu-startups.com/directory/biocam/,"Wroclaw Poland; first European AI-powered capsule endoscopy system; telemedicine platform",medium
