company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
goodBot,DE,Lab automation - pipetting robot,https://www.goodbot.de/,,unknown,Yes,https://www.medica-tradefair.com/en/media-news/spheres-of-medica-magazine/lab-diagnostics/automation-research-lab-pipet-goodbot,Freiburg; AI pipetting robot; University of Freiburg EXIST-grant spin-off; MEDICA 2024 Start-up Competition robotics finalist,high
SVAN Technologies,AT,Surgical - autonomous bone drill,https://www.svanneo.at/,,unknown,Yes,https://www.hospimedica.com/medica-2025/articles/294807279/winners-announced-of-the-14th-medica-start-up-competition.html,Vienna; Medical University of Vienna spin-off; autonomous neonatal bone drill (Smart Versatile Autostop Navigation Drill); MEDICA 2025 Start-up Competition 1st place winner,high
Orthokey Italia,IT,Surgical - orthopedic knee robot,https://www.orthokey.com/,,unknown,Yes,https://www.kuka.com/en-us/industries/solutions-database/2024/09/orthokey-robin-robotic-knee-surgery,Florence; ROBIN open-platform knee arthroplasty robot; first European robot with EU MDR certification; founded 2005,high
BHS Technologies,AT,Surgical - microsurgery RoboticScope,https://www.bhs-technologies.com/,,unknown,Yes,https://www.bhs-technologies.com/company/,Innsbruck; RoboticScope head-gesture-controlled 3D digital microscope for ENT and microsurgery; founded 2017,high
Kyniska Robotics,FR,Surgical - sports medicine orthopedic,https://www.kyniska-robotics.com/,,unknown,Yes,https://www.goodwinlaw.com/en/news-and-events/news/2024/09/announcements-technology-haventure-participates-in-the-fundraising,Grenoble; 2024 merger of KAT Robotics + LinkX Robotics + Ostesys; sports-medicine knee surgical robot; ~17-50 staff,high
Nami Surgical,GB,Surgical - ultrasonic scalpel,https://www.namisurgical.com/,info@namisurgical.com,generic,Yes,https://www.gla.ac.uk/news/archiveofnews/2024/may/headline_1071104_en.html,Glasgow; University of Glasgow spin-out 2022; miniaturized ultrasonic scalpel for robot-assisted surgery; GBP3.2M seed 2024,high
Atlas Endoscopy,GB,Endoscopy - robotic colonoscopy,https://www.atlasendoscopy.com/,,unknown,Yes,https://find-and-update.company-information.service.gov.uk/company/13408099,Leeds; University of Leeds STORM Lab spin-out (Valdastri); magnetic-guided robotic colonoscopy capsule; Phase 1 first-in-human 2025,high
OR Productivity (FreeHand),GB,Surgical - laparoscopy camera holder,https://www.freehandsurgeon.com/,,unknown,Yes,https://www.freehandsurgeon.com/,Guildford; FreeHand robotic camera-holder for laparoscopic/thoracoscopic surgery; CE/MHLW/FDA cleared; over 15000 procedures,high
Cellaven,FR,Lab automation - cell culture,https://cellaven.com/,,unknown,Yes,https://www.compamed-tradefair.com/vis/v1/en/catalogue/medcom.MEDICA.04.12,Dijon; NESTOR automated cell-culture liquid-handling robot; founded 2022; SLAS Europe 2025 exhibitor booth 616; EUR2.8M seed,high
Surgify Medical,FI,Surgical - tissue-selective bone burr,https://www.surgifymedical.com/,,unknown,Yes,https://www.surgifymedical.com/news/press-release-finlands-surgify-medical-raises-eu7m-to-make-bone-surgery-safer-with-tissue-selective-technology,Espoo; Surgify Halo tissue-selective bone-surgery burr for robotic automated bone resection; founded 2017; EUR14M total funding; ZEISS Ventures-backed,high
PHACON,DE,Surgical simulation - artificial patients,https://phacon.de/en/,,unknown,Yes,https://phacon.de/en/,Leipzig; founded 2007; patient-specific 3D-printed artificial surgical patients for training with AR integration; ~9-25 employees; MEDICA exhibitor,high
Resense,DE,Surgical robot components - force sensors,https://www.resense.io/,,unknown,Yes,https://www.medteclive.com/en/p/wittenstein-galaxie-gmbh-und-resense-gmbh.140504,Klingenberg; WITTENSTEIN-WIKA JV founded April 2023; world's smallest 8mm 6-axis force/torque sensors for medical robotics; MedtecLIVE 2024 exhibitor,medium
Powered Orthotics,DE,Rehab - hand orthosis,https://powered-orthotics.com/,,unknown,Yes,https://www.medica-tradefair.com/en/Program/Forums/MEDICA_INNOVATION_FORUM/MEDICA_START-UP_COMPETITION_1,Mannheim; University of Heidelberg spin-off; MotionMate soft robotic hand orthosis for hand paralysis rehab; MEDICA 2025 Start-up Competition robotics finalist,high
Motilis Medica,CH,Capsule endoscopy - GI motility,http://www.motilis.com/,contact@motilis.com,generic,Yes,https://bioalps.org/organizations/motilis-medica-sa/,Lausanne; ingestible capsule with magnetic tracking for GI motility diagnostics; CE mark,medium
REEV,FR,Rehab - motorized knee orthosis,https://reev.care/,,unknown,Yes,https://reev.care/dreeven-mobility-assistance/,Toulouse; DREEVEN smart motorized knee orthosis + REEV SENSE gait-analysis wearable; founded 2021; $12.4M total funding,high
Augury Medical (Pace Locator),CH,Cardiac visualization hardware,https://augurymedical.com/,,unknown,Yes,https://www.venturelab.swiss/PaceLocator-The-Venture-Leader-Medtech-revolutionizing-cardiac-care-with-realtime-3D-heart-visualization,Bern University of Applied Sciences spin-off; Pace Locator 3D cardiac-signal visualization device; Venture Leaders Medtech 2025,medium
OrthoSens,CH,Orthopedic smart implants,https://orthosens.ch/,,unknown,Yes,https://www.venturelab.swiss/medtech2025,Courroux; battery-free smart implant sensors for orthopedic implants + SensApp platform; founded 2024; Venture Leaders Medtech 2025,medium
Grab2Go,EE,Pharmacy automation - autonomous vending,https://www.grab2go.eu/,,unknown,Yes,https://retailtechinnovationhub.com/home/2023/4/4/a-game-changer-in-the-healthcare-industry-grab2go-launches-its-first-autonomous-pharmacy-unit-in-estonia,Tallinn; 24/7 autonomous unmanned robotic pharmacy vending; deployed with BENU pharmacy chain; EUR1M total raised,medium
IMSTec,DE,Pharmacy automation - blister packaging,https://www.imstec.de/,,unknown,No,https://www.medteclive.com/en/e/medteclive-healthtech-pavilion-at-automatica-laser-world-of-photonics-2025.55489,Klein-Winternheim; fully automated blister packaging line for weekly patient medication dispensing; ~150 employees; MedtecLIVE Healthtech Pavilion at automatica 2025,medium
inMotion VR (Corpus VR),NL,Neurorehab - VR + biosensors,https://corpusvr.com/,,unknown,Yes,https://corpusvr.com/medica-dusseldorf/,'s-Hertogenbosch; VR-based therapy with biosensors for physical/behavioural/neuro rehabilitation; MEDICA 2024/2025 exhibitor at Fourier Rehab stand,medium
