company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
LUKE Robotics,FR,endovascular,https://www.luke-robotics.com,,,Yes,https://www.medicalps.eu/membre/minmaxmedical/,Grenoble; robotic platform for percutaneous interventional radiology; Medicalps member,high
MinMaxMedical,FR,surgical,https://www.minmaxmedical.com,,,Yes,https://www.medicalps.eu/membre/minmaxmedical/,Saint-Martin-d'Heres; surgical robots + navigation; Medicalps member; Apprieu production site 2026,high
Decon-X International,NO,disinfection,https://www.deconx.com,,,Yes,https://www.norwayhealthtech.com/solutions/decon-x/,Oslo; H2O2 dry-mist hospital disinfection robots; EN 17272; Norway Health Tech member,high
YUMAN,DK,assistive,https://www.yuman-robots.dk,,,Yes,https://www.odenserobotics.dk/,Copenhagen; Buddy autonomous hospital transport robot; Odense Robotics Start Up Award 2023,high
Autonomous Units,DK,disinfection,https://www.a-units.com,,,Yes,https://www.odenserobotics.dk/autonomous-units-leaves-the-startup-hub/,Odense; DMD4000 autonomous dry-mist disinfection robot; first autonomous robot EN 17272 compliant,high
Machnet Medical Robotics,NL,surgical,https://machnet-robotics.com,,,Yes,https://www.utwente.nl/en/techmed/innovation/ecosystem/spin-offs/,UTwente TechMed spin-off; MRI-guided breast biopsy robot,high
Artiria Medical,CH,endovascular,https://www.artiria-medical.com,,,Yes,https://bioalps.org/artiria-medical-secures-ce-mark-for-it-smartguide-014-a-deflectable-guidewire/,EPFL spin-out 2019; SmartGUIDE 014 deflectable neurovascular guidewire; CE + FDA,high
Auxivo,CH,assistive,https://www.auxivo.com,,,Yes,https://www.venturelab.swiss/,ETH Zurich spin-off 2019; LiftSuit/OmniSuit passive exoskeletons; Venturelab alum,high
Odne (ex Lumendo),CH,surgical,https://www.odne.ch,,,Yes,https://ethz-foundation.ch/en/pioneer-fellows/lumendo/,EPFL/ETH spin-off 2018; light-active surgical fillers for endodontics/neurovascular; ETH Pioneer Fellowship,high
Ovesco Endoscopy,DE,endovascular,https://ovesco.com,,,Yes,https://www.spectaris.de/medizintechnik/,Tuebingen; OTSC Over-The-Scope Clip endoscopic clipping; SPECTARIS sector medtech,high
