company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Axosuits,RO,rehab/exoskeleton,https://www.axosuits.com,,,Yes,https://www.axosuits.com/,Oradea-based lower-limb medical exoskeleton for gait rehabilitation and walking assist; pursuing EU approval,high
.lumen,RO,assistive/visually impaired,https://www.dotlumen.com,,,Yes,https://www.dotlumen.com/glasses,Cluj-based startup developing AI haptic glasses for blind mobility; EIC Accelerator EUR 9.3M recipient,high
CardioMedive,RO,remote patient monitoring,https://www.cardiomedive.eu,,,Yes,https://www.cardiomedive.eu/,Bucharest-based cardiac monitor patch hardware with edge AI; remote vital-signs device,medium
RONNA Medical,HR,surgical/neurosurgery,https://www.ronna-medical.hr,,,Yes,https://www.ronna-medical.hr/,Zagreb spin-off from RONNA project (Univ of Zagreb); robotic neuronavigation system used clinically for biopsies and SEEG,high
Kinestica,SI,rehab/neuro,https://kinestica.com,,,Yes,https://kinestica.com/,Ljubljana-based sensor-based upper-limb neuro-rehabilitation hardware (Bimeo Equio); Univ Ljubljana spin-off,high
Iskra Medical,SI,rehab/physiotherapy,https://iskramedical.com,,,Yes,https://iskramedical.com/,Podnart-based manufacturer of functional magnetic stimulation and electrotherapy rehabilitation hardware,medium
Dermus,HU,imaging/dermatology,https://www.dermusvision.com,,,Yes,https://www.dermusvision.com/,Budapest-based Pazmany Peter Catholic Univ spin-off; handheld high-frequency ultrasound + optical skin imaging device MDR-certified,medium
3DHISTECH,HU,lab automation/digital pathology,https://www.3dhistech.com,,,No,https://www.3dhistech.com/,Budapest-based digital pathology scanner hardware leader; may exceed SME size but hardware lab automation relevant,medium
ExoFrame,PL,rehab/exoskeleton,http://exoframe.com.pl,,,Yes,http://exoframe.com.pl/,Warsaw University of Technology spin-off; passive/semi-passive exoskeletons for industrial and rehabilitation use,high
StethoMe,PL,remote diagnostics,https://www.stethome.com,,,Yes,https://www.stethome.com/,Poznan-based AI-powered wireless stethoscope hardware for home lung/heart exams; CE-certified,high
Robin Heart (FRK Zabrze),PL,surgical/cardiac,https://frk.pl,,,Yes,https://www.medexpress.pl/en/drugs-medical-technology/mom-competitor-for-foreign-medical-work-to-robin-heart-foundation-developing-cardiac-surgery-in-zabrze/,Foundation for Cardiac Surgery Development Zabrze; cardiac surgery telemanipulator (Robin Heart PVA commercialized),low
