company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Panda Surgical,GB,neurosurgery,https://www.panda-surgical.com/,contact@panda-surgical.com,generic,Yes,https://www.uclb.com/2024/02/16/uclb-spinout-panda-surgicals-world-first-neurosurgical-robots-set-to-revolutionise-complex-surgery/,UCL spinout (2022) - handheld robotic platform for minimally invasive neurosurgery; GBP1M raised 2025,high
EnAcuity,GB,surgical AI/imaging,https://enacuity.com/,,,Yes,https://www.uclb.com/2024/12/20/enacuity-raises-1-28m-to-target-safer-surgery/,Joint UCL/Imperial spinout (2024) - AI hyperspectral-like laparoscopic visualization; GBP1.28M pre-seed,high
Flux Robotics,NL,endovascular robotics,https://fluxrobotics.nl/,,,Yes,https://medtechtwente.nl/en/flux-robotics-transforms-surgery-with-high-tech-medical-innovation/,University of Twente spin-off (2022); magnetic guidewire drive for vascular/cardiac/brain intervention,high
Navari Surgical,SE,surgical AR/imaging,https://navarisurgical.com/,,,Yes,https://cordis.europa.eu/project/id/101113904,Chalmers/Sahlgrenska spin-off (2021); ARVIS AR-guided MIS cancer surgery; Horizon Europe project 101113904,high
Spatium Medical,NL,surgical insufflation,https://www.spatiummedical.com/,contact@spatiummedical.com,generic,Yes,https://www.polimi.it/en/the-politecnico/news/news-detail/surgical-innovation-intelligent-turbine-insufflator-is-here,Erasmus MC / Politecnico Milano spin-off; intelligent turbine laparoscopic insufflator,high
aiEndoscopic,CH,intubation robotics,https://www.aiendoscopic.com/,,,Yes,https://www.innovation.uzh.ch/en/stories/venture/aiEndoscopic.html,ETH/UZH/USZ spin-off (2021); intuBot AI-guided robotic endoscope for airway intubation,high
MagnebotiX,CH,magnetic microrobotics,https://www.magnebotix.com/,,,Yes,https://msrl.ethz.ch/the-lab/spin-offs.html,ETH Zurich spin-off; magnetic manipulation systems for medical microrobots,high
FemtoTools,CH,micro/nano manipulation,https://www.femtotools.com/,,,Yes,https://msrl.ethz.ch/the-lab/spin-offs.html,ETH Zurich spin-off; MEMS microrobotic handling/force sensing tools (biomedical research),medium
Generative Bionics,IT,humanoid healthcare robotics,https://gbionics.ai/,,,No,https://opentalk.iit.it/en/born-from-iit-generative-bionics-raises-e70-million-to-build-a-new-generation-of-intelligent-made-in-italy-humanoid-robots/,IIT Genoa spin-off (July 2024); humanoid robots for healthcare/logistics; EUR 70M seed,medium
Era Endoscopy,IT,capsule/robotic colonoscopy,https://www.endotics.com/,info@endotics.com,generic,Yes,https://cordis.europa.eu/project/id/688592,Scuola Sant'Anna spin-off; Endotics robotic disposable colonoscope; CORDIS ENDOO H2020,high
AcuSurgical,FR,retinal microsurgery,https://www.acusurgical.com/,,,Yes,https://www.acusurgical.com/,Montpellier spin-off (2020); Luca bi-manual robotic ocular microsurgery platform,high
AdEchoTech,FR,tele-robotic ultrasound,https://www.adechotech.com/,,,Yes,https://www.adechotech.com/en/company/,French company; MELODY robotic tele-ultrasound; CE MDR 2023/FDA 2017; CNES/ESA,high
SATA Medical,NL,laparoscopic instruments,https://satamedical.com/,,,Yes,https://yesdelft.com/news/kick-off-a-new-medtech-accelerator-program/,TU Delft spin-off; SATA shaft-actuated tip articulation for reusable robotic laparoscopic instruments,high
Momo Medical,NL,smart bed/pressure ulcer,https://www.momomedical.com/,,,Yes,https://yesdelft.com/startups/momo-medical/,TU Delft/YES!Delft spin-off; smart bed sensor and patient repositioning hardware,medium
Medicud,IT,surgical wound therapy device,https://www.medicud.com/,,,Yes,https://eithealth.eu/news-article/eit-health-catapult-2023-24-selects-30-semifinalists/,EIT Health Catapult 2023-24 semi-finalist; Dryum negative-pressure wound therapy hardware,medium
ABZero,IT,medical drone logistics,https://www.abzero.it/,,,Yes,https://www.santannapisa.it/en/news/abzero-spin-company-santanna-school-has-won-2024-eco-innovation-award-micro-enterprises,Scuola Sant'Anna spin-off; Smart Capsule medical transport drone; 2024 Eco-Innovation Award,medium
CoNurse,HR,nursing assistant device,https://www.conurse.net/,,,Yes,https://www.conurse.net/news/conurse-finalist-eit-health-innostars-awards/,EIT Health InnoStars 2024 finalist; nursing decision support hardware platform,low
EndoCartoScope,ES,smart endoscopy navigation,https://ire4health.eu/,,,Yes,https://cordis.europa.eu/project/id/101211633,EIC-funded project at Univ Zaragoza; planned spin-off for VSLAM endoscope navigation (TRL9),medium
RespiBit,GR,asthma wearable monitor,https://respibit.com/,,,Yes,https://eithealth.eu/news-article/innostars-awards-2024-forty-start-ups-set-to-change-healthcare-in-central-eastern-and-southern-europe/,EIT Health InnoStars 2024 finalist; AsthmaFit wearable pollutant/allergen exposure monitor,low
