company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Apian,GB,medical-drone-delivery,https://www.apian.health,,,Yes,https://www.apian.health/about,NHS-doctor-cofounded medical drone logistics for blood/sample flights; Solent London Dublin Northumberland; CAA permits,high
KELO Robotics,DE,disinfection-robot,https://www.kelo-robotics.com,,,Yes,https://www.kelo-robotics.com/products/,Augsburg-based; KELO AD UVC disinfection robot for hospitals/airports; DIH-HERO COVID call awardee,high
Lifeline Robotics,DK,sample-collection-robot,https://lifelinerobotics.com,,,Yes,https://lifelinerobotics.com/about/,SDU spin-off (2020); Careebo automated throat-swab robot; Norrsken/REInvest backed,high
VirtaMed,CH,surgical-training-haptics,https://www.virtamed.com,,,Yes,https://www.virtamed.com/en/about-us/company,ETH Zurich spin-off (2007); ArthroS/LaparoS/UroS/GynoS hyper-realistic mixed-reality surgical simulators with haptic actuation,high
Surgical Science,SE,surgical-training-haptics,https://surgicalscience.com,,,No,https://surgicalscience.com/simulators/lapsim/,Gothenburg-based; LapSim haptic VR simulator + Senhance simulator software; Nasdaq Stockholm listed - not SME,medium
MyoSwiss,CH,soft-exoskeleton,https://myo.swiss,,,Yes,https://sms.hest.ethz.ch/the-group/spin-offs/myoswiss.html,ETH spin-off (2017); Myosuit CE-marked soft wearable exoskeleton for lower-limb weakness,high
Robotnik Automation,ES,assistive-mobile-platform,https://robotnik.eu,,,No,https://robotnik.eu/applications-of-robotics-in-medicine/,Valencia-based; mobile robot platforms for hospital logistics and lab; majority acquired by United Robotics Group 2023,medium
United Robotics Group,DE,assistive-service-robot,https://unitedrobotics.group,,,No,https://unitedrobotics.group/en/about/the-company,Bochum-based; CobiotX healthcare service robots; integrator/holding combining 9 European robotics SMEs - not SME-scale,medium
Tinybots,NL,assistive-dementia-robot,https://www.tinybots.nl,,,Yes,https://healthcare-in-europe.com/en/news/meet-tessa-the-little-robot-helper.html,Nijmegen-based; Tessa social robot for dementia/early-stage cognitive impairment; 1500+ deployed in NL,medium
Inpeco,CH,lab-automation,https://www.inpeco.com,,,No,https://www.inpeco.com/our-company/,Headquartered Novazzano CH with Italian manufacturing; FlexLab total-lab-automation; 2600+ systems shipped - large not SME,medium
Blue Frog Robotics,FR,assistive-companion-robot,https://www.bluefrogrobotics.com,,,Yes,https://m.bluefrogrobotics.com/elders/,Paris-based; Buddy emotional companion robot; ACCRA EU project for elderly care,medium
Vitestro,NL,robotic-phlebotomy,https://vitestro.com,,,Yes,https://vitestro.com/aletta/,Utrecht-based; Aletta autonomous robotic phlebotomy device; CE mark Aug 2024,high
Innoway,HU,medical-device-prototyping,https://innoway.hu,,,Yes,https://eithealth.eu/news-article/innostars-awards-2024-forty-start-ups-set-to-change-healthcare-in-central-eastern-and-southern-europe/,Hungarian medtech device prototyping; EIT Health InnoStars 2024 finalist,low
Universal Robots,DK,cobot-hospital-lab,https://www.universal-robots.com,,,No,https://www.universal-robots.com/case-stories/gentofte-hospital/,Odense-based Teradyne subsidiary; UR cobots deployed at Gentofte hospital lab automation and Odense Univ Hospital neuro-rehab Patient@Home - large not SME,medium
Kassow Robots,DK,cobot-hospital-lab,https://www.kassowrobots.com,,,No,https://www.kassowrobots.com/about-us,Copenhagen-based 7-axis cobot maker; Bosch Rexroth majority ownership 2022 - not SME,low
